Altitude,Horizontal Force
0.0,-0.4205337449205223
5.05050505050505,-0.4650461485479781
10.1010101010101,-0.5464890794371052
15.15151515151515,-0.6535829782755911
20.2020202020202,-0.7759298904820919
25.252525252525253,-0.9062604182426985
30.3030303030303,-1.0400880900045082
35.35353535353535,-1.17480703331307
40.4040404040404,-1.3095462341407436
45.45454545454545,-1.4452271097032034
50.505050505050505,-1.5835717297734322
55.55555555555555,-1.72534563034199
60.6060606060606,-1.8693850728804868
65.65656565656565,-2.0135182492881283
70.7070707070707,-2.1564302884239037
75.75757575757575,-2.2984610820665714
80.8080808080808,-2.4406225553329497
85.85858585858585,-2.5830934539458283
90.9090909090909,-2.724818054978127
95.95959595959596,-2.864551574097771
101.01010101010101,-3.0023599175185787
106.06060606060605,-3.140073136074464
111.1111111111111,-3.280360750805446
116.16161616161615,-3.4250466679356864
121.2121212121212,-3.5740224568306753
126.26262626262626,-3.7254368443699635
131.3131313131313,-3.8767829273103382
136.36363636363635,-4.025790389304036
141.4141414141414,-4.170251459993266
146.46464646464645,-4.3069150876277025
151.5151515151515,-4.4303151096623035
156.56565656565655,-4.532773477110555
161.6161616161616,-4.606158904261939
166.66666666666666,-4.644970373911253
171.7171717171717,-4.648910221446629
176.76767676767676,-4.623116741929813
181.8181818181818,-4.575895044521628
186.86868686868686,-4.51544313815013
191.91919191919192,-4.447397002207088
196.96969696969697,-4.374109169216783
202.02020202020202,-4.2956850518073235
207.07070707070704,-4.21192570036792
212.1212121212121,-4.123916653608043
217.17171717171715,-4.034015890964016
222.2222222222222,-3.9445236765105696
227.27272727272725,-3.856455883978536
232.3232323232323,-3.7695533454711936
237.37373737373736,-3.683174172423271
242.4242424242424,-3.5968646512149633
247.47474747474746,-3.510037477898451
252.5252525252525,-3.421460756671549
257.57575757575756,-3.32959543657492
262.6262626262626,-3.2338431734419206
267.67676767676767,-3.135646909560828
272.7272727272727,-3.038379747519609
277.77777777777777,-2.94572892597394
282.8282828282828,-2.859468271792308
287.8787878787879,-2.7781346006177734
292.9292929292929,-2.6977576263802687
297.979797979798,-2.614376763125172
303.030303030303,-2.526608571846131
308.0808080808081,-2.436371995425657
313.1313131313131,-2.347391794907282
318.1818181818182,-2.2626640327922907
323.2323232323232,-2.1826802779054044
328.28282828282823,-2.1054126770311767
333.3333333333333,-2.0277936350994734
338.38383838383834,-1.947634644809992
343.4343434343434,-1.8646827344401968
348.48484848484844,-1.7801922569815916
353.5353535353535,-1.6954588034127445
358.58585858585855,-1.610463832065464
363.6363636363636,-1.5236790310251185
368.68686868686865,-1.43320568782342
373.73737373737373,-1.338410224883519
378.78787878787875,-1.2406049001003019
383.83838383838383,-1.1422380814973296
388.88888888888886,-1.0452977237989651
393.93939393939394,-0.9503769642261587
398.98989898989896,-0.8571171037533489
404.04040404040404,-0.7653035922992452
409.09090909090907,-0.6754870133396466
414.1414141414141,-0.5886761055760205
419.19191919191917,-0.5056143842468228
424.2424242424242,-0.4261584730269483
429.2929292929293,-0.3490381597291474
434.3434343434343,-0.27210787309833806
439.3939393939394,-0.19291763720431998
444.4444444444444,-0.10942448604206137
449.4949494949495,-0.020570498787843335
454.5454545454545,0.07336745485924069
459.5959595959596,0.17082190691486077
464.6464646464646,0.2694083595487952
469.6969696969697,0.3664976182130387
474.7474747474747,0.45939952959008457
479.7979797979798,0.5450360135403488
484.8484848484848,0.619685665865638
489.89898989898984,0.6793776111355441
494.9494949494949,0.7207974823413692
500.0,0.7419241498397242
